CodeC,country,Country Code,year,time_period,obs_value,sex,Region,Sub-region
NPL2001Mal,Nepal,NPL,2001,01/01/2001,29,Male,Asia,Southern Asia
NPL2001Tot,Nepal,NPL,2001,01/01/2001,26,Total,Asia,Southern Asia
NIC2001Fem,Nicaragua,NIC,2001,01/01/2001,57,Female,Americas,Latin America and the Caribbean
NIC2001Mal,Nicaragua,NIC,2001,01/01/2001,58,Male,Americas,Latin America and the Caribbean
NIC2001Tot,Nicaragua,NIC,2001,01/01/2001,58,Total,Americas,Latin America and the Caribbean
UGA2001Fem,Uganda,UGA,2001,01/01/2001,65,Female,Africa,Sub-Saharan Africa
UGA2001Mal,Uganda,UGA,2001,01/01/2001,68,Male,Africa,Sub-Saharan Africa
UGA2001Tot,Uganda,UGA,2001,01/01/2001,67,Total,Africa,Sub-Saharan Africa
DZA2002Tot,Algeria,DZA,2002,01/01/2002,52,Total,Africa,Northern Africa
BOL2002Tot,"Bolivia, Plurinational State of",BOL,2002,01/01/2002,46.3,Total,Americas,Latin America and the Caribbean
DJI2002Fem,Djibouti,DJI,2002,01/01/2002,64,Female,Africa,Sub-Saharan Africa
DJI2002Mal,Djibouti,DJI,2002,01/01/2002,61,Male,Africa,Sub-Saharan Africa
DJI2002Tot,Djibouti,DJI,2002,01/01/2002,62,Total,Africa,Sub-Saharan Africa
DOM2002Fem,Dominican Republic,DOM,2002,01/01/2002,63,Female,Americas,Latin America and the Caribbean
DOM2002Mal,Dominican Republic,DOM,2002,01/01/2002,64,Male,Americas,Latin America and the Caribbean
DOM2002Tot,Dominican Republic,DOM,2002,01/01/2002,64,Total,Americas,Latin America and the Caribbean
ERI2002Fem,Eritrea,ERI,2002,01/01/2002,43,Female,Africa,Sub-Saharan Africa
ERI2002Mal,Eritrea,ERI,2002,01/01/2002,44,Male,Africa,Sub-Saharan Africa
ERI2002Tot,Eritrea,ERI,2002,01/01/2002,44,Total,Africa,Sub-Saharan Africa
GTM2002Tot,Guatemala,GTM,2002,01/01/2002,64,Total,Americas,Latin America and the Caribbean
JOR2002Fem,Jordan,JOR,2002,01/01/2002,73,Female,Asia,Western Asia
JOR2002Mal,Jordan,JOR,2002,01/01/2002,82,Male,Asia,Western Asia
JOR2002Tot,Jordan,JOR,2002,01/01/2002,78,Total,Asia,Western Asia
SYR2002Tot,Syrian Arab Republic,SYR,2002,01/01/2002,66,Total,Asia,Western Asia
TLS2002Tot,Timor-Leste,TLS,2002,01/01/2002,57,Total,Asia,South-eastern Asia
VNM2002Fem,Viet Nam,VNM,2002,01/01/2002,65,Female,Asia,South-eastern Asia
VNM2002Mal,Viet Nam,VNM,2002,01/01/2002,76,Male,Asia,South-eastern Asia
VNM2002Tot,Viet Nam,VNM,2002,01/01/2002,71,Total,Asia,South-eastern Asia
ZMB2002Fem,Zambia,ZMB,2002,01/01/2002,70,Female,Africa,Sub-Saharan Africa
ZMB2002Mal,Zambia,ZMB,2002,01/01/2002,68,Male,Africa,Sub-Saharan Africa
ZMB2002Tot,Zambia,ZMB,2002,01/01/2002,69,Total,Africa,Sub-Saharan Africa
BFA2003Fem,Burkina Faso,BFA,2003,01/01/2003,36,Female,Africa,Sub-Saharan Africa
BFA2003Mal,Burkina Faso,BFA,2003,01/01/2003,36,Male,Africa,Sub-Saharan Africa
BFA2003Tot,Burkina Faso,BFA,2003,01/01/2003,36,Total,Africa,Sub-Saharan Africa
EGY2003Fem,Egypt,EGY,2003,01/01/2003,64,Female,Africa,Northern Africa
EGY2003Mal,Egypt,EGY,2003,01/01/2003,76,Male,Africa,Northern Africa
EGY2003Tot,Egypt,EGY,2003,01/01/2003,70,Total,Africa,Northern Africa
SLV2003Tot,El Salvador,SLV,2003,01/01/2003,62,Total,Americas,Latin America and the Caribbean
GHA2003Fem,Ghana,GHA,2003,01/01/2003,44,Female,Africa,Sub-Saharan Africa
GHA2003Mal,Ghana,GHA,2003,01/01/2003,44,Male,Africa,Sub-Saharan Africa
GHA2003Tot,Ghana,GHA,2003,01/01/2003,44,Total,Africa,Sub-Saharan Africa
GIN2003Fem,Guinea,GIN,2003,01/01/2003,34,Female,Africa,Sub-Saharan Africa
GIN2003Mal,Guinea,GIN,2003,01/01/2003,32,Male,Africa,Sub-Saharan Africa
GIN2003Tot,Guinea,GIN,2003,01/01/2003,33,Total,Africa,Sub-Saharan Africa
IDN2003Fem,Indonesia,IDN,2003,01/01/2003,62,Female,Asia,South-eastern Asia
IDN2003Mal,Indonesia,IDN,2003,01/01/2003,60,Male,Asia,South-eastern Asia
IDN2003Tot,Indonesia,IDN,2003,01/01/2003,61,Total,Asia,South-eastern Asia
KEN2003Fem,Kenya,KEN,2003,01/01/2003,48,Female,Africa,Sub-Saharan Africa
KEN2003Mal,Kenya,KEN,2003,01/01/2003,50,Male,Africa,Sub-Saharan Africa
KEN2003Tot,Kenya,KEN,2003,01/01/2003,49,Total,Africa,Sub-Saharan Africa
MOZ2003Fem,Mozambique,MOZ,2003,01/01/2003,55,Female,Africa,Sub-Saharan Africa
MOZ2003Mal,Mozambique,MOZ,2003,01/01/2003,56,Male,Africa,Sub-Saharan Africa
MOZ2003Tot,Mozambique,MOZ,2003,01/01/2003,55,Total,Africa,Sub-Saharan Africa
MMR2003Fem,Burma,MMR,2003,01/01/2003,67,Female,Asia,South-eastern Asia
MMR2003Mal,Burma,MMR,2003,01/01/2003,64,Male,Asia,South-eastern Asia
MMR2003Tot,Burma,MMR,2003,01/01/2003,66,Total,Asia,South-eastern Asia
NGA2003Fem,Nigeria,NGA,2003,01/01/2003,33,Female,Africa,Sub-Saharan Africa
NGA2003Mal,Nigeria,NGA,2003,01/01/2003,32,Male,Africa,Sub-Saharan Africa
NGA2003Tot,Nigeria,NGA,2003,01/01/2003,33,Total,Africa,Sub-Saharan Africa
PHL2003Fem,Philippines,PHL,2003,01/01/2003,54,Female,Asia,South-eastern Asia
PHL2003Mal,Philippines,PHL,2003,01/01/2003,55,Male,Asia,South-eastern Asia
PHL2003Tot,Philippines,PHL,2003,01/01/2003,55,Total,Asia,South-eastern Asia
YEM2003Tot,Yemen,YEM,2003,01/01/2003,47,Total,Asia,Western Asia
BGD2004Fem,Bangladesh,BGD,2004,01/01/2004,17,Female,Asia,Southern Asia
BGD2004Mal,Bangladesh,BGD,2004,01/01/2004,23,Male,Asia,Southern Asia
BGD2004Tot,Bangladesh,BGD,2004,01/01/2004,20,Total,Asia,Southern Asia
BOL2004Fem,"Bolivia, Plurinational State of",BOL,2004,01/01/2004,49,Female,Americas,Latin America and the Caribbean
BOL2004Mal,"Bolivia, Plurinational State of",BOL,2004,01/01/2004,54,Male,Americas,Latin America and the Caribbean
BOL2004Tot,"Bolivia, Plurinational State of",BOL,2004,01/01/2004,50.4,Total,Americas,Latin America and the Caribbean
CMR2004Fem,Cameroon,CMR,2004,01/01/2004,39,Female,Africa,Sub-Saharan Africa
CMR2004Mal,Cameroon,CMR,2004,01/01/2004,41,Male,Africa,Sub-Saharan Africa
CMR2004Tot,Cameroon,CMR,2004,01/01/2004,40,Total,Africa,Sub-Saharan Africa
TCD2004Fem,Chad,TCD,2004,01/01/2004,11,Female,Africa,Sub-Saharan Africa
TCD2004Mal,Chad,TCD,2004,01/01/2004,13,Male,Africa,Sub-Saharan Africa
TCD2004Tot,Chad,TCD,2004,01/01/2004,12,Total,Africa,Sub-Saharan Africa
PRK2004Tot,"Korea, Democratic People's Republic of",PRK,2004,01/01/2004,93,Total,Asia,Eastern Asia
MDG2004Fem,Madagascar,MDG,2004,01/01/2004,47,Female,Africa,Sub-Saharan Africa
MDG2004Mal,Madagascar,MDG,2004,01/01/2004,50,Male,Africa,Sub-Saharan Africa
MDG2004Tot,Madagascar,MDG,2004,01/01/2004,48,Total,Africa,Sub-Saharan Africa
MAR2004Fem,Morocco,MAR,2004,01/01/2004,34,Female,Africa,Northern Africa
MAR2004Mal,Morocco,MAR,2004,01/01/2004,42,Male,Africa,Northern Africa
MAR2004Tot,Morocco,MAR,2004,01/01/2004,38,Total,Africa,Northern Africa
PER2004Fem,Peru,PER,2004,01/01/2004,69,Female,Americas,Latin America and the Caribbean
PER2004Mal,Peru,PER,2004,01/01/2004,67,Male,Americas,Latin America and the Caribbean
PER2004Tot,Peru,PER,2004,01/01/2004,68,Total,Americas,Latin America and the Caribbean
ZAF2004Fem,South Africa,ZAF,2004,01/01/2004,66,Female,Africa,Sub-Saharan Africa
ZAF2004Mal,South Africa,ZAF,2004,01/01/2004,64,Male,Africa,Sub-Saharan Africa
ZAF2004Tot,South Africa,ZAF,2004,01/01/2004,65,Total,Africa,Sub-Saharan Africa
ALB2005Fem,Albania,ALB,2005,01/01/2005,61,Female,Europe,Southern Europe
ALB2005Mal,Albania,ALB,2005,01/01/2005,32,Male,Europe,Southern Europe
ALB2005Tot,Albania,ALB,2005,01/01/2005,45,Total,Europe,Southern Europe
ARM2005Fem,Armenia,ARM,2005,01/01/2005,24,Female,Asia,Western Asia
ARM2005Mal,Armenia,ARM,2005,01/01/2005,52,Male,Asia,Western Asia
ARM2005Tot,Armenia,ARM,2005,01/01/2005,36,Total,Asia,Western Asia
BLR2005Fem,Belarus,BLR,2005,01/01/2005,89,Female,Europe,Eastern Europe
BLR2005Mal,Belarus,BLR,2005,01/01/2005,90,Male,Europe,Eastern Europe
BLR2005Tot,Belarus,BLR,2005,01/01/2005,90,Total,Europe,Eastern Europe
BDI2005Fem,Burundi,BDI,2005,01/01/2005,39,Female,Africa,Sub-Saharan Africa
BDI2005Mal,Burundi,BDI,2005,01/01/2005,36,Male,Africa,Sub-Saharan Africa
BDI2005Tot,Burundi,BDI,2005,01/01/2005,38,Total,Africa,Sub-Saharan Africa
COL2005Fem,Colombia,COL,2005,01/01/2005,64,Female,Americas,Latin America and the Caribbean
COL2005Mal,Colombia,COL,2005,01/01/2005,59,Male,Americas,Latin America and the Caribbean
COL2005Tot,Colombia,COL,2005,01/01/2005,62,Total,Americas,Latin America and the Caribbean
COG2005Fem,Congo,COG,2005,01/01/2005,48,Female,Africa,Sub-Saharan Africa
COG2005Mal,Congo,COG,2005,01/01/2005,47,Male,Africa,Sub-Saharan Africa
COG2005Tot,Congo,COG,2005,01/01/2005,48,Total,Africa,Sub-Saharan Africa
EGY2005Fem,Egypt,EGY,2005,01/01/2005,61,Female,Africa,Northern Africa
EGY2005Mal,Egypt,EGY,2005,01/01/2005,66,Male,Africa,Northern Africa
EGY2005Tot,Egypt,EGY,2005,01/01/2005,63,Total,Africa,Northern Africa
ETH2005Fem,Ethiopia,ETH,2005,01/01/2005,19,Female,Africa,Sub-Saharan Africa
ETH2005Mal,Ethiopia,ETH,2005,01/01/2005,19,Male,Africa,Sub-Saharan Africa
ETH2005Tot,Ethiopia,ETH,2005,01/01/2005,19,Total,Africa,Sub-Saharan Africa
GEO2005Fem,Georgia,GEO,2005,01/01/2005,70.8,Female,Asia,Western Asia
GEO2005Mal,Georgia,GEO,2005,01/01/2005,76.4,Male,Asia,Western Asia
GEO2005Tot,Georgia,GEO,2005,01/01/2005,73.6,Total,Asia,Western Asia
GIN2005Fem,Guinea,GIN,2005,01/01/2005,42,Female,Africa,Sub-Saharan Africa
GIN2005Mal,Guinea,GIN,2005,01/01/2005,42,Male,Africa,Sub-Saharan Africa
GIN2005Tot,Guinea,GIN,2005,01/01/2005,42,Total,Africa,Sub-Saharan Africa
JAM2005Fem,Jamaica,JAM,2005,01/01/2005,77,Female,Americas,Latin America and the Caribbean
JAM2005Mal,Jamaica,JAM,2005,01/01/2005,73,Male,Americas,Latin America and the Caribbean
